観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),昨日の最高気温(℃),昨日の最高気温の品質情報,昨日の最高気温起時（時）,昨日の最高気温起時（分）,昨日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（昨日まで）,今年の最高気温（昨日まで）の品質情報,今年の最高気温（昨日まで）を観測した起日（年）,今年の最高気温（昨日まで）を観測した起日（月）,今年の最高気温（昨日まで）を観測した起日（日）,昨日までの観測史上1位の値（℃）,昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値を観測した起日（年）,昨日までの観測史上1位の値を観測した起日（月）,昨日までの観測史上1位の値を観測した起日（日）,昨日までの6月の1位の値,昨日までの6月の1位の値の品質情報,昨日までの6月の1位の値の起日（年）,昨日までの6月の1位の値の起日（月）,昨日までの6月の1位の値の起日（日）,統計開始年
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2022,06,27,,,16.0,8,15,47,8,-0.5,-3.0,6,3,,,0,23.3,4,2022,06,25,31.9,8,2000,08,01,26.4,8,2005,06,22,1978
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2022,06,27,,,16.5,8,09,30,8,-1.1,-1.2,6,2,,,0,21.6,4,2022,06,15,32.7,8,2021,07,29,26.8,8,1977,06,30,1938
11046,北海道宗谷地方,礼文（レブン）,,2022,06,27,,,17.6,8,14,38,8,0.0,+1.0,6,3,,,0,21.8,4,2022,05,26,30.5,8,2021,08,07,24.6,8,2010,06,29,2003
11061,北海道宗谷地方,声問（コエトイ）,,2022,06,27,,,16.4,8,09,35,8,-2.7,-2.0,6,1,,,0,24.6,4,2022,05,22,33.3,8,2021,07,29,27.9,8,2013,06,01,2003
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2022,06,27,,,15.3,8,19,25,8,-1.3,-5.5,6,2,,,0,25.8,4,2022,06,25,32.7,8,2000,07,31,28.3,8,2021,06,11,1978
11091,北海道宗谷地方,本泊（モトドマリ）,,2022,06,27,,,16.3,8,15,35,8,-2.6,-1.1,6,1,,,0,23.4,4,2022,06,15,31.8,8,2021,08,07,26.1,8,2014,06,03,2003
11121,北海道宗谷地方,沼川（ヌマカワ）,,2022,06,27,,,18.1,8,16,44,8,-1.0,+0.1,6,2,,,0,25.4,4,2022,05,26,32.4,8,2021,07,29,29.2,8,2010,06,29,1977
11151,北海道宗谷地方,沓形（クツガタ）,,2022,06,27,,,17.8,8,16,34,8,-1.1,+0.9,6,2,,,0,21.5,4,2022,06,24,32.5,8,1989,08,07,28.6,8,1988,06,30,1977
11176,北海道宗谷地方,豊富（トヨトミ）,,2022,06,27,,,18.0,8,10,07,8,-1.8,+0.2,6,2,,,0,24.1,4,2022,05,26,33.1,8,2000,08,01,29.3,8,2010,06,29,1977
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2022,06,27,,,15.6,8,01,02,8,-2.7,-6.9,5,3,,,0,27.7,4,2022,06,25,33.6,4,1989,07,27,30.6,8,2014,06,03,1977
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2022,06,27,,,17.8,8,02,27,8,-3.3,-3.7,5,3,,,0,28.6,4,2022,06,25,35.8,8,2021,08,07,33.1,8,2012,06,30,1977
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402,2022,06,27,,,14.6,8,22,25,8,-2.8,-11.6,5,3,,,0,30.3,4,2022,06,25,35.0,8,2000,07,31,32.6,8,2014,06,03,1942
11316,北海道宗谷地方,歌登（ウタノボリ）,,2022,06,27,,,19.1,8,00,27,8,-1.4,-5.9,6,2,,,0,30.2,4,2022,06,25,35.4,8,1989,07,26,32.2,8,2014,06,03,1977
12011,北海道上川地方,中川（ナカガワ）,,2022,06,27,,,18.1,8,15,16,8,-3.3,-4.0,5,3,,,0,28.8,4,2022,06,25,36.2,8,2021,07,28,32.4,8,2012,06,30,1977
12041,北海道上川地方,音威子府（オトイネップ）,,2022,06,27,,,18.4,8,00,32,8,-3.6,-7.3,5,3,,,0,29.4,4,2022,06,25,36.6,8,2021,07,28,33.6,8,2012,06,30,1977
12141,北海道上川地方,美深（ビフカ）,,2022,06,27,,,19.7,8,09,52,8,-3.8,-7.5,5,3,,,0,29.8,4,2022,05,26,36.6,8,2021,07,28,34.0,8,2014,06,04,1977
12181,北海道上川地方,名寄（ナヨロ）,,2022,06,27,,,20.8,8,13,21,8,-2.9,-6.8,6,1,,,0,30.0,4,2022,05,26,36.4,8,2021,07,28,35.4,8,2014,06,04,1976
12231,北海道上川地方,下川（シモカワ）,,2022,06,27,,,19.9,8,13,53,8,-2.7,-7.9,5,3,,,0,29.2,4,2022,06,25,37.3,8,2021,07,28,34.0,8,2014,06,04,1977
12261,北海道上川地方,士別（シベツ）,,2022,06,27,,,21.3,8,01,15,8,-2.1,-6.5,6,1,,,0,29.4,4,2022,06,25,37.0,8,2021,08,07,36.3,8,2014,06,04,1977
12266,北海道上川地方,朝日（アサヒ）,,2022,06,27,,,21.3,8,01,14,8,-2.2,-7.0,6,1,,,0,29.8,4,2022,06,25,37.2,8,2021,08,07,36.4,8,2014,06,04,1977
12301,北海道上川地方,和寒（ワッサム）,,2022,06,27,,,21.9,8,01,12,8,-1.9,-6.1,6,1,,,0,29.8,4,2022,06,25,36.8,8,2021,08,07,36.6,8,2014,06,04,1977
12386,北海道上川地方,江丹別（エタンベツ）,,2022,06,27,,,22.3,8,12,39,8,-1.2,-5.7,6,2,,,0,29.6,4,2022,06,25,38.4,8,2021,07,31,36.1,8,2014,06,04,1977
