観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),昨日の最低気温(℃),昨日の最低気温の品質情報,昨日の最低気温起時（時）,昨日の最低気温起時（分）,昨日の最低気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今季最低,今年の最低気温（℃)（一昨日まで）,今年の最低気温（一昨日まで）の品質情報,今年の最低気温（一昨日まで）を観測した起日（年）,今年の最低気温（一昨日まで）を観測した起日（月）,今年の最低気温（一昨日まで）を観測した起日（日）,一昨日までの観測史上1位の値（℃）,一昨日までの観測史上1位の値の品質情報,一昨日までの観測史上1位の値を観測した起日（年）,一昨日までの観測史上1位の値を観測した起日（月）,一昨日までの観測史上1位の値を観測した起日（日）,一昨日までの6月の1位の値,一昨日までの6月の1位の値の品質情報,一昨日までの6月の1位の値の起日（年）,一昨日までの6月の1位の値の起日（月）,一昨日までの6月の1位の値の起日（日）,統計開始年
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2022,06,27,,,11.4,8,03,18,8,+0.6,-0.7,6,3,,,0,-11.7,5,2022,01,01,-17.1,8,1986,02,03,1.7,8,1983,06,02,1978
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2022,06,27,,,12.6,8,04,33,8,+0.6,-0.1,6,3,,,0,-11.0,5,2021,12,31,-19.4,8,1944,01,30,2.1,8,1941,06,09,1938
11046,北海道宗谷地方,礼文（レブン）,,2022,06,27,,,11.6,8,00,08,8,-0.4,+0.2,6,3,,,0,-12.9,5,2021,12,31,-17.1,8,2019,02,08,4.0,8,2011,06,01,2003
11061,北海道宗谷地方,声問（コエトイ）,,2022,06,27,,,12.1,8,04,29,8,+1.8,-0.4,7,1,,,0,-20.9,5,2022,01,31,-24.6,8,2012,02,25,-1.6,8,2018,06,10,2003
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2022,06,27,,,12.0,8,04,17,8,+1.8,-1.5,7,1,,,0,-21.5,5,2022,01,31,-27.2,8,1986,02,04,-2.2,8,1981,06,02,1978
11091,北海道宗谷地方,本泊（モトドマリ）,,2022,06,27,,,11.2,8,19,51,8,-0.4,-0.7,6,3,,,0,-13.8,5,2022,02,10,-16.6,8,2019,02,08,0.9,8,2008,06,02,2003
11121,北海道宗谷地方,沼川（ヌマカワ）,,2022,06,27,,,12.0,8,00,39,8,+2.1,-0.5,7,1,,,0,-25.9,5,2022,01,31,-34.4,8,1978,02,17,-2.6,8,1985,06,15,1977
11151,北海道宗谷地方,沓形（クツガタ）,,2022,06,27,,,12.5,8,00,58,8,+0.5,-0.7,6,3,,,0,-12.0,5,2022,01,01,-16.9,8,1978,02,17,1.3,8,1985,06,14,1977
11176,北海道宗谷地方,豊富（トヨトミ）,,2022,06,27,,,12.4,8,24,00,8,+1.2,-2.6,7,1,,,0,-21.7,5,2022,01,31,-28.8,8,2014,02,08,-1.6,8,1985,06,14,1977
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2022,06,27,,,12.5,8,06,18,8,+1.9,-1.8,7,1,,,0,-19.1,5,2022,01,30,-27.4,8,1984,01,30,-2.0,8,1981,06,02,1977
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2022,06,27,,,12.8,8,23,07,8,+2.6,-4.7,7,2,,,0,-29.3,5,2022,01,31,-35.9,8,1985,01,24,-2.6,8,1985,06,15,1977
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402,2022,06,27,,,12.4,8,17,21,8,+1.3,-1.4,7,1,,,0,-15.2,5,2022,01,31,-26.4,8,1947,02,12,0.4,8,1946,06,01,1942
11316,北海道宗谷地方,歌登（ウタノボリ）,,2022,06,27,,,12.7,8,05,19,8,+2.7,-5.8,7,2,,,0,-28.6,5,2022,01,31,-37.9,8,1978,02,17,-2.3,8,1985,06,15,1977
12011,北海道上川地方,中川（ナカガワ）,,2022,06,27,,,14.0,8,24,00,8,+3.6,-3.6,7,3,,,0,-25.7,5,2022,01,31,-35.6,8,1985,01,24,-1.7,4,1985,06,14,1977
12041,北海道上川地方,音威子府（オトイネップ）,,2022,06,27,,,14.5,8,23,40,8,+3.6,-3.6,7,3,,,0,-26.5,5,2022,01,31,-34.9,8,1982,02,05,-0.8,8,1996,06,01,1977
12141,北海道上川地方,美深（ビフカ）,,2022,06,27,,,15.4,8,24,00,8,+4.0,-0.8,7,3,,,0,-25.6,5,2022,01,31,-37.0,8,1978,02,17,-0.8,8,1978,06,02,1977
12181,北海道上川地方,名寄（ナヨロ）,,2022,06,27,,,15.9,8,23,55,8,+4.6,-2.7,7,3,,,0,-25.4,5,2022,01,20,-35.7,8,1982,02,02,-1.0,8,1998,06,03,1976
12231,北海道上川地方,下川（シモカワ）,,2022,06,27,,,15.4,8,24,00,8,+4.7,-2.0,7,3,,,0,-25.5,5,2022,01,31,-36.1,8,1978,02,17,-2.1,8,1983,06,03,1977
12261,北海道上川地方,士別（シベツ）,,2022,06,27,,,15.7,8,24,00,8,+3.6,-2.7,7,3,,,0,-24.7,5,2022,02,15,-35.1,8,1985,01,25,0.4,8,1989,06,11,1977
12266,北海道上川地方,朝日（アサヒ）,,2022,06,27,,,15.9,8,24,00,8,+4.0,-2.1,7,3,,,0,-21.5,5,2022,01,31,-29.0,8,1978,02,17,-0.7,8,1983,06,04,1977
12301,北海道上川地方,和寒（ワッサム）,,2022,06,27,,,16.1,8,24,00,8,+3.6,-3.1,7,3,,,0,-25.7,5,2022,01,01,-36.8,8,1985,01,25,0.2,8,1989,06,11,1977
12386,北海道上川地方,江丹別（エタンベツ）,,2022,06,27,,,15.7,8,23,59,8,+4.2,+1.1,7,3,,,0,-26.6,5,2022,01,07,-38.1,8,1978,02,17,-1.4,8,1979,06,01,1977
12396,北海道上川地方,比布（ピップ）,,2022,06,27,,,15.7,8,24,00,8,+2.7,-2.4,7,2,,,0,-21.9,5,2022,01,01,-31.4,8,1985,01,25,1.0,8,1978,06,02,1977
12411,北海道上川地方,上川（カミカワ）,,2022,06,27,,,14.6,8,23,53,8,+3.3,-3.4,7,2,,,0,-22.8,5,2022,01,02,-28.6,8,1998,02,07,-2.0,8,2018,06,10,1977
12442,北海道上川地方,旭川（アサヒカワ）,47407,2022,06,27,,,15.6,8,24,00,8,+1.9,-4.6,7,1,,,0,-19.8,5,2022,01,02,-41.0,8,1902,01,25,-1.2,8,1898,06,14,1888
12451,北海道上川地方,東川（ヒガシカワ）,,2022,06,27,,,15.5,8,23,44,8,+2.4,-4.1,7,2,,,0,-21.0,5,2022,01,02,-29.3,8,1978,02,17,0.1,8,2002,06,25,1977
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2022,06,27,,,14.9,8,24,00,8,+2.2,-3.7,7,2,,,0,-24.4,5,2022,01,02,-28.5,8,2020,02,09,-0.1,8,2018,06,10,2003
